N18 03 27.298	W076 48 27.421
N18 03 27.119	W076 48 21.132
N18 03 21.537	W076 48 18.852
N18 03 10.022	W076 48 16.984
N18 03 07.742	W076 48 23.219
N18 03 01.617	W076 48 22.011
N18 02 56.818	W076 48 27.531
N18 02 51.723	W076 48 25.609
N18 02 48.482	W076 48 29.701
N18 02 42.783	W076 48 36.293
N18 02 42.480	W076 48 29.042
N18 02 47.877	W076 48 15.529
N18 02 48.962	W076 48 08.882
N18 02 43.799	W076 48 05.531
N18 02 38.278	W076 48 01.988
N18 02 32.819	W076 48 04.020
N18 02 28.081	W076 48 08.278
N18 02 24.058	W076 48 13.029
N18 02 22.678	W076 48 18.962
N18 02 19.141	W076 48 23.576
N18 02 14.040	W076 48 30.058
N18 02 10.201	W076 48 34.562
N18 02 05.999	W076 48 39.122
N18 02 01.378	W076 48 38.930
N18 01 59.036	W076 48 31.486
N18 01 55.500	W076 48 22.807
N18 01 49.382	W076 48 21.654
N18 01 40.799	W076 48 20.994
N18 01 34.860	W076 48 18.907
N18 01 28.796	W076 48 14.348
N18 01 25.562	W076 48 08.333
N18 01 19.438	W076 47 59.873
N18 01 16.080	W076 47 54.545
N18 01 12.358	W076 47 48.612
N18 01 06.783	W076 47 46.799
N18 01 00.417	W076 47 47.102
N18 00 53.942	W076 47 48.173
N18 00 48.841	W076 47 51.661
N18 00 42.901	W076 47 51.112
N18 00 36.357	W076 47 50.288
N18 00 29.216	W076 47 47.651
N18 00 23.998	W076 47 43.806
N18 00 17.639	W076 47 35.346
N18 00 12.297	W076 47 32.270
N18 00 06.420	W076 47 30.430
N18 00 00.240	W076 47 27.848
N17 59 55.076	W076 47 25.019
N17 59 48.718	W076 47 21.586
N17 59 42.717	W076 47 19.251
N17 59 36.482	W076 47 16.367
N17 59 30.240	W076 47 18.372
N17 59 23.882	W076 47 20.570
N17 59 15.896	W076 47 23.591
N17 59 09.840	W076 47 25.980
N17 59 03.722	W076 47 28.150
N17 58 57.721	W076 47 30.292
N17 58 49.502	W076 47 30.540
N17 58 43.679	W076 47 33.176
N17 58 34.018	W076 47 31.748
